轮次,判别器损失,生成器对抗损失,生成器特征损失,生成器残差约束损失,生成器总损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
50,-0.020918586360359634,-9.786813665319372,0.00013610120044581385,0.0011254056287860429,-9.785702387491861,0.042293819380395205,0.002137523288206186,81,27
51,-0.017646276989928735,-9.869335068596733,0.0001313846156268415,0.001086512373553382,-9.86826229095459,0.03651056171935282,0.0018864284854462762,81,27
52,-0.021002364459872983,-9.923056143301505,0.00013064565320275033,0.0011093639315933818,-9.921988805135092,0.040374296682852286,0.001937193203901435,81,27
53,-0.018898449401244705,-9.209787686665853,0.00013219506083125317,0.0011198384756291354,-9.208707562199345,0.03884579222879292,0.0019947342771496394,81,27
54,-0.01912097351188645,-9.112349722120497,0.0001280809781207979,0.0010807628816649041,-9.111303506074128,0.03766681529857494,0.001854584172560638,81,27
55,-0.017704740753052412,-8.859567748175728,0.00012514774452601732,0.0010458991056549603,-8.85854579784252,0.036588415687466846,0.0018883675029989977,81,27
56,-0.01750416193663338,-8.61354144414266,0.00012498886725451384,0.0010708721540005947,-8.612520200234872,0.03592590049461082,0.0018421738623371233,81,27
57,-0.01757380362301145,-8.323116567399767,0.00012059087802535268,0.001028852496313414,-8.32213122756393,0.03619656739411531,0.001862276369564948,81,27
58,-0.018363288672709907,-8.056615970752857,0.00012158495950710926,0.001067196795096,-8.055622030187536,0.03618647728437259,0.0017823188577887866,81,27
59,-0.013158949827890338,-8.204950703514946,0.00011798115856773047,0.0010189435841446673,-8.20398650345979,0.031910984604446975,0.0018752034678825257,81,27
60,-0.018733157557837755,-8.405353793391475,0.0001274240068461815,0.0010548208439205256,-8.404313228748462,0.036652835798852236,0.0017919678084356825,81,27
61,-0.016320649913891597,-8.836489430180302,0.00011790568236459944,0.0010372861741214162,-8.835525583337855,0.03364008444326895,0.001731943447260692,81,27
62,-0.01695656740785013,-8.525468049225983,0.00010982242275969367,0.0009991088343128838,-8.524569476092303,0.034578146757902925,0.0017621579280347323,81,27
63,-0.013257126530839337,-8.46144089875398,0.00011186036459144412,0.000986679855958317,-8.46052618379946,0.03162643055856964,0.0018369304052163146,81,27
64,-0.015660560068984825,-8.394887306072095,0.00011450843696905024,0.00102870554568384,-8.393950638947663,0.032510209966588904,0.0016849649941439477,81,27
65,-0.010705767038427754,-8.991618121111834,0.0001027849554062683,0.0009401756407762015,-8.990777015686035,0.0275596218344606,0.0016853854855677735,81,27
66,-0.01458221438260358,-8.876987563239204,0.0001101987241040829,0.0010116922666956842,-8.87608566990605,0.031584704363787616,0.0017002489939504475,81,27
67,-0.016483970434853324,-9.114977871930158,0.00010803993333225932,0.0009823917751890367,-9.114093886481392,0.0329125604511779,0.001642858999764064,81,27
68,-0.014960282436215583,-9.086804001419633,9.823476432723476e-05,0.0009573450596589181,-9.08599892369023,0.03167888264597198,0.0016718600433963684,81,27
69,-0.0167079128233003,-9.046983047767922,0.000101711609103303,0.0009660791321140197,-9.046149995591906,0.03306041529149185,0.001635250243441673,81,27
70,-0.014776300960852777,-9.57511915983977,0.00010244019951507518,0.0009311349023374971,-9.574281021400735,0.03167655144208743,0.0016900250457520425,81,27
71,-0.015703171974530927,-9.24203759652597,9.516890552024254e-05,0.0008975209030150263,-9.241258373966923,0.031964278515474294,0.0016261106493514906,81,27
