轮次,判别器损失,生成器损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
138,-24.825522622944398,-60.088351779513886,34.80038499243466,0.997486236286752,81,27
139,-24.923851978631667,-59.80871469003183,34.85925782757041,0.9935405820976069,81,27
140,-24.773813553798345,-60.979413209138094,34.46716977343147,0.969335628144535,81,27
141,-24.283631030424143,-60.605908429181135,33.90879722877785,0.9625166145003872,81,27
142,-24.53151038840965,-61.09353538795754,34.445971783296564,0.991446140003793,81,27
143,-24.289676289499543,-61.80810151276765,33.81411079124168,0.9524434414910682,81,27
144,-24.052852065474898,-62.064141308819806,33.66832756701811,0.9615475516996266,81,27
145,-24.261718090669607,-62.50046624077691,33.8472004643193,0.9585482389838608,81,27
146,-23.981767277658722,-62.989713739465785,33.290743415738326,0.9308976128145501,81,27
147,-24.13401311709557,-62.842344495985245,33.6298254036609,0.9495812080524586,81,27
148,-23.773347148188837,-63.56299901891638,33.47199381133657,0.9698646745564025,81,27
149,-23.940943800372843,-63.4498932449906,33.45800046567564,0.9517056746983233,81,27
150,-23.44829323851032,-64.0028936598036,32.91041221147702,0.9462118899380719,81,27
151,-23.81402599664382,-64.28955191153067,33.385940740137926,0.9571914676530862,81,27
152,-23.483181659086252,-63.94293862802011,32.75088976636345,0.9267708167985633,81,27
153,-23.600395697134513,-63.743127469663264,33.0748477982886,0.9474452178419372,81,27
154,-23.045936984780393,-63.37136205037435,32.2217514132276,0.9175814316596513,81,27
155,-23.341486989715953,-63.359094549108434,32.57328000480746,0.9231792909127695,81,27
156,-22.7255478023011,-62.707991423430265,31.771176326422044,0.9045628647745392,81,27
157,-22.886263329305766,-63.10890381424515,31.69772046878014,0.8811457158974659,81,27
158,-22.902992248535156,-63.636869218614365,32.13012365647304,0.9227131358635279,81,27
159,-23.032584649545175,-64.37342594288013,32.19823879665799,0.9165654057337914,81,27
160,-22.84735361735026,-64.1514944853606,32.19398385507089,0.9346630231097892,81,27
161,-22.317591278641313,-64.70754807083695,31.40718408278477,0.9089592682358659,81,27
162,-22.640803749178662,-64.22080485026042,31.608751085069443,0.8967947304984669,81,27
163,-22.87781708328812,-63.80972459581163,32.01353934959129,0.9135722275133487,81,27
164,-22.019805790465554,-63.723982634367765,30.958041768015168,0.8938236109636448,81,27
165,-22.310331450568306,-63.65394253200955,31.21364160231602,0.8903310070803137,81,27
166,-21.60680963963638,-64.21787219577365,30.16708392861449,0.8560274335337273,81,27
167,-22.116537341365106,-64.3349882055212,31.058119926923588,0.8941582665767198,81,27
168,-21.46070824140384,-64.17606099446614,29.99710695243176,0.8536398611318918,81,27
169,-21.14041463828381,-64.51683199847186,29.64529400107301,0.8504879325628281,81,27
170,-21.042552394631468,-64.9808297333894,29.532443011248553,0.8489890578720305,81,27
171,-21.10397856912495,-65.45085412484629,29.514855278862846,0.8410876683982802,81,27
172,-20.378373393306024,-65.45034917195638,28.5565276440279,0.8178154281627985,81,27
173,-19.977478745542925,-65.57527471471715,27.96551749147015,0.7988038712445601,81,27
174,-19.45422300880338,-66.1618081552011,27.43676220929181,0.7982539194233623,81,27
175,-19.172429426216784,-65.27011503996673,26.782206970968364,0.7609777487354514,81,27
176,-18.91437300929317,-65.17299355400934,26.23550170144917,0.7321128650211993,81,27
177,-18.64921737011568,-65.49170741328487,26.03185267507294,0.7382635321514106,81,27
178,-18.27377344060827,-65.16618771023221,25.563121465989102,0.7289348005512615,81,27
179,-17.325270958888677,-65.58165571424696,23.97726873703945,0.6651997757546696,81,27
180,-17.611943233160325,-64.90247316713686,24.44200492199556,0.6830061740345426,81,27
181,-17.857323458165297,-65.63736611825449,24.64171459056713,0.678439117692135,81,27
182,-17.761489303023726,-65.33927041512949,24.63428911750699,0.6872799847229027,81,27
183,-17.380044984228817,-65.39899755407262,24.061535022876882,0.6681490021723288,81,27
184,-17.002442677815754,-65.3502495377152,23.466053197413316,0.6463610526220298,81,27
185,-17.40702751536428,-65.18318684895833,24.053029378255207,0.6646001870617454,81,27
186,-17.62207286740527,-65.3429210804127,24.304044794153285,0.6681971925276297,81,27
187,-17.304439615320277,-65.84752768057363,23.937901390923393,0.6633461763461431,81,27
188,-17.369096791302717,-66.71235035083912,23.964224968427494,0.6595128142723331,81,27
189,-17.683517927004967,-65.79760417231807,24.47991448861581,0.6796396525553715,81,27
190,-16.78935918690246,-66.4574536924009,23.332438151041668,0.6543078884298419,81,27
191,-17.464855747458376,-65.65080981784396,24.1111510005998,0.664629528000031,81,27
192,-17.353940351509753,-65.98835542466905,24.144824840404368,0.6790884573150564,81,27
193,-17.218271055339294,-65.34082440976744,23.752268567497346,0.6533997533497987,81,27
194,-17.17755237626441,-65.60823030825014,23.710703013855735,0.6533150772253672,81,27
195,-16.92692024325147,-66.00238489221644,23.416708675431618,0.6489788433651865,81,27
196,-16.92677985297309,-65.18579313490126,23.287022343388312,0.6360242453254299,81,27
197,-17.045748192587016,-65.25308241667571,23.570337978410134,0.652458973136949,81,27
198,-17.32090847580521,-65.34692411069517,23.85186047024197,0.6530952050730034,81,27
199,-17.041538956724565,-64.87633895874023,23.798804436200932,0.675726551240609,81,27
